site_id,date,mean_temp,dew_point,max_temp,min_temp,sea_level_pressure,station_pressure,visibility,wind_speed,max_wind_speed,wind_gust,precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado,mean_temp_before_detrend,dew_point_before_detrend,max_temp_before_detrend,min_temp_before_detrend,sea_level_pressure_before_detrend,station_pressure_before_detrend,visibility_before_detrend,wind_speed_before_detrend,max_wind_speed_before_detrend,wind_gust_before_detrend,precipitation_before_detrend,snow_depth_before_detrend
471080-99999,1933-01-01,5.125130807269855,1.3915410868058373,5.040851723199509,4.667395657067743,1014.9716162945258,-15.067534049334313,1.863427854219598,0.35496549251025655,-0.5756791426776591,25.973063966784945,0.05739335389775298,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1934-01-01,5.245679422511657,1.549280890224928,5.187844771437611,4.776046350039373,1014.9716162945258,-15.307087438051212,1.897409270184518,0.3797164341283876,-0.5042222086911003,25.973063966784945,0.05502071047169789,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1935-01-01,5.366228037753459,1.7070206936440186,5.334837819675727,4.884697043011009,1014.9716162945258,-15.546640826767998,1.931390686149438,0.4044673757465178,-0.4327652747045416,25.973063966784945,0.052648067045642795,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1936-01-01,5.48677665299526,1.8647604970631022,5.481830867913828,4.993347735982638,1014.9716162945258,-15.786194215484898,1.9653721021143582,0.4292183173646489,-0.3613083407179829,25.973063966784945,0.05027542361958771,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1937-01-01,5.607325268237062,2.022500300482193,5.628823916151944,5.101998428954268,1014.9716162945258,-16.025747604201683,1.9993535180792783,0.45396925898277907,-0.2898514067314242,25.973063966784945,0.04790278019353261,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1938-01-01,5.727873883478871,2.1802401039012835,5.775816964390046,5.210649121925904,1014.9716162945258,-16.265300992918583,2.0333349340441984,0.47872020060091014,-0.21839447274486545,25.973063966784945,0.045530136767477525,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1939-01-01,5.848422498720673,2.337979907320374,5.922810012628162,5.3192998148975335,1014.9716162945258,-16.504854381635482,2.0673163500091203,0.5034711422190412,-0.14693753875830673,25.973063966784945,0.04315749334142244,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1940-01-01,5.968971113962475,2.4957197107394578,6.069803060866263,5.427950507869163,1014.9716162945258,-16.744407770352268,2.1012977659740404,0.5282220838371714,-0.075480604771748,25.973063966784945,0.04078484991536734,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1941-01-01,6.089519729204277,2.6534595141585484,6.216796109104379,5.536601200840799,1014.9716162945258,-16.983961159069167,2.1352791819389605,0.5529730254553025,-0.004023670785189282,25.973063966784945,0.03841220648931225,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
471080-99999,1942-01-01,6.2100683444460785,2.811199317577639,6.363789157342481,5.6452518938124285,1014.9716162945258,-17.223514547785953,2.1692605979038806,0.5777239670734335,0.06743326320136944,25.973063966784945,0.03603956306325716,3.113966188114863,0.0,0.0,0.0,0.0,0.0,0.0,66.63792187477003,52.36464327041346,76.52430808494002,57.41094278917681,1014.9716162945258,984.0637565615576,11.582726760323292,6.561658766873201,12.416362266498977,25.973063966784945,0.03640578429589697,3.113966188114863
